transactionId|custId|transactionDate|productSold|unitsSold
20110111-0023586|0023586|2011-01-11|DETA800|176
20110111-0023586|0023586|2011-01-11|SUPA101|193
20110111-0023586|0023586|2011-01-11|SUPA102|157
20110113-0023524|0023524|2011-01-13|PURA250|122
20110113-0023844|0023844|2011-01-13|SUPA101|217
20110114-0023968|0023968|2011-01-14|PURA100|284
20110119-0023582|0023582|2011-01-19|PURA100|184
20110119-0023582|0023582|2011-01-19|PURA250|178
20110119-0023582|0023582|2011-01-19|SUPA101|173
20110119-0023582|0023582|2011-01-19|SUPA101|173
20110119-0023582|0023582|2011-01-19|SUPA101|173
20110123-0023572|0023572|2011-01-23|PURA500|90
20110124-0023861|0023861|2011-01-24|PURA100|16
20110124-0023861|0023861|2011-01-24|PURA250|12
20110124-0023861|0023861|2011-01-24|PURA500|15
20110126-0024221|0024221|2011-01-26|SUPA101|191
20110126-0024221|0024221|2011-01-26|SUPA102|189
20110126-0024221|0024221|2011-01-26|SUPA103|189
20110127-0024051|0024051|2011-01-27|DETA200|83
20110127-0024051|0024051|2011-01-27|PURA100|86
20110128-0024093|0024093|2011-01-28|PURA500|63
20110130-0023572|0023572|2011-01-30|DETA200|82
20110130-0023572|0023572|2011-01-30|PURA100|93
20110130-0023572|0023572|2011-01-30|SUPA101|89
20110131-0024221|0024221|2011-01-31|DETA800|209
20110131-0024221|0024221|2011-01-31|PURA250|227
20110131-0024221|0024221|2011-01-31|PURA500|211
20110201-0023586|0023586|2011-02-01|SUPA103|185
20110201-0023586|0023586|2011-02-01|SUPA104|173
20110201-0023968|0023968|2011-02-01|PURA250|262
20110203-0023844|0023844|2011-02-03|PURA100|216
20110203-0023844|0023844|2011-02-03|PURA500|192
20110205-0023572|0023572|2011-02-05|PURA100|99
20110206-0023550|0023550|2011-02-06|PURA500|139
20110206-0023572|0023572|2011-02-06|PURA100|100
20110206-0023586|0023586|2011-02-06|DETA200|201
20110206-0023586|0023586|2011-02-06|SUPA101|205
20110206-0023586|0023586|2011-02-06|SUPA101|205
20110208-0024071|0024071|2011-02-08|SUPA101|41
20110210-0023586|0023586|2011-02-10|DETA200|177
20110210-0023586|0023586|2011-02-10|SUPA103|185
20110212-0023572|0023572|2011-02-12|SUPA103|75
20110212-0023622|0023622|2011-02-12|PURA100|40
20110212-0024093|0024093|2011-02-12|DETA100|53
20110212-0024093|0024093|2011-02-12|DETA800|57
20110212-0024093|0024093|2011-02-12|SUPA104|54
20110213-0023586|0023586|2011-02-13|PURA100|188
20110213-0023586|0023586|2011-02-13|PURA200|180
20110213-0023586|0023586|2011-02-13|PURA500|178
20110213-0023861|0023861|2011-02-13|SUPA102|12
20110215-0023294|0023294|2011-02-15|DETA800|158
20110215-0023719|0023719|2011-02-15|PURA100|167
20110215-0023719|0023719|2011-02-15|SUPA103|163
20110215-0023719|0023719|2011-02-15|SUPA104|182
20110216-0023586|0023586|2011-02-16|DETA100|164
20110216-0023586|0023586|2011-02-16|PURA200|199
20110216-0023586|0023586|2011-02-16|SUPA101|222
20110216-0023824|0023824|2011-02-16|DETA800|131
20110216-0023824|0023824|2011-02-16|PURA100|133
20110216-0023824|0023824|2011-02-16|PURA500|145
20110218-0023550|0023550|2011-02-18|PURA100|152
20110218-0023550|0023550|2011-02-18|SUPA101|130
20110218-0023560|0023560|2011-02-18|PURA100|282
20110218-0023560|0023560|2011-02-18|PURA250|244
20110218-0023560|0023560|2011-02-18|PURA500|248
20110221-0023968|0023968|2011-02-21|DETA200|216
20110221-0023968|0023968|2011-02-21|SUPA101|224
20110221-0024093|0024093|2011-02-21|PURA100|57
20110221-0024093|0024093|2011-02-21|SUPA104|60
20110222-0023484|0023484|2011-02-22|DETA200|49
20110222-0023484|0023484|2011-02-22|SUPA101|46
20110222-0023484|0023484|2011-02-22|SUPA104|55
20110222-0023606|0023606|2011-02-22|PURA100|22
20110222-0023606|0023606|2011-02-22|SUPA103|18
20110222-0023606|0023606|2011-02-22|SUPA104|19
20110222-0023690|0023690|2011-02-22|DETA100|91
20110222-0023690|0023690|2011-02-22|PURA100|99
20110222-0023690|0023690|2011-02-22|SUPA101|90
